step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
132,CASH_IN,191374.08,C1870418037,68319.0,259693.08,C1690568347,0.0,0.0,0,0
357,CASH_OUT,83958.79,C1418106848,0.0,0.0,C1863730960,478451.6,562410.39,0,0
374,CASH_OUT,244081.9,C1241317217,0.0,0.0,C1070972959,342044.0,586125.9,0,0
121,TRANSFER,174296.71,C1712613012,174296.71,0.0,C1523305736,0.0,0.0,1,0
378,CASH_IN,38045.23,C199739739,3370212.03,3408257.26,C1294573692,254759.21,216713.98,0,0
597,CASH_OUT,1015051.7,C1574416258,1015051.7,0.0,C1664584911,267402.3,1282454.0,1,0
132,CASH_IN,232638.59,C346678009,181.0,232819.59,C423248942,0.0,0.0,0,0
398,PAYMENT,3986.41,C514579422,0.0,0.0,M1077978251,0.0,0.0,0,0
42,CASH_OUT,50416.65,C956748876,21462.0,0.0,C51506443,5897291.01,5790836.87,0,0
256,TRANSFER,255028.93,C1965921392,255028.93,0.0,C180655933,0.0,0.0,1,0
355,CASH_IN,4902.71,C1942424127,3257766.17,3262668.87,C690375876,69958.24,65055.53,0,0
413,CASH_OUT,438983.45,C1890267069,438983.45,0.0,C254366528,26861.84,465845.29,1,0
156,CASH_IN,292739.62,C2035847722,80226.0,372965.62,C1242028553,0.0,0.0,0,0
283,PAYMENT,20003.07,C741469396,326080.37,306077.3,M2144703462,0.0,0.0,0,0
393,PAYMENT,11870.29,C105366761,454723.84,442853.56,M1523596462,0.0,0.0,0,0
163,CASH_OUT,7231.13,C744898547,1051.0,0.0,C1880967272,264352.68,306449.8,0,0
371,CASH_IN,322152.21,C1857811481,976925.42,1299077.63,C30060371,460417.84,138265.63,0,0
231,CASH_IN,294089.11,C1311579846,8951170.38,9245259.49,C1413700545,412625.68,118536.57,0,0
184,CASH_IN,340347.97,C908302307,171329.0,511676.97,C2118359457,0.0,0.0,0,0
331,CASH_IN,268503.78,C1742177350,30518.0,299021.78,C1946400275,0.0,0.0,0,0
16,CASH_OUT,40861.33,C1896654609,33266.0,0.0,C941009636,639000.97,422437.65,0,0
516,CASH_OUT,2625132.51,C31108995,2625132.51,0.0,C1373418055,35492.23,2660624.74,1,0
397,CASH_OUT,431180.26,C674159604,26461.0,0.0,C1697028691,0.0,431180.26,0,0
659,TRANSFER,1268640.81,C582406081,0.0,0.0,C2012708356,3470700.93,4739341.74,0,0
358,PAYMENT,15332.57,C922361413,30383.0,15050.43,M735924114,0.0,0.0,0,0
306,CASH_IN,371495.58,C1539877693,22406.0,393901.58,C1573526608,3654272.27,3282776.69,0,0
285,CASH_OUT,212975.59,C1972055697,212975.59,0.0,C796298418,1744147.16,1957122.75,1,0
42,PAYMENT,842.36,C1141136524,103721.11,102878.75,M470800946,0.0,0.0,0,0
52,TRANSFER,128426.58,C1842985263,128426.58,0.0,C840755462,0.0,0.0,1,0
573,CASH_OUT,66765.32,C1989891404,88.0,0.0,C1233857577,199617.61,266382.93,0,0
603,TRANSFER,1263340.66,C670652368,1263340.66,0.0,C526059376,0.0,0.0,1,0
355,CASH_OUT,69577.55,C83842770,0.0,0.0,C612438976,288407.23,357984.79,0,0
184,TRANSFER,1517894.8,C1440114136,0.0,0.0,C1382717704,3667339.18,5185233.98,0,0
664,TRANSFER,331729.06,C1287144716,331729.06,0.0,C1962276701,0.0,0.0,1,0
643,CASH_OUT,40651.96,C459709989,40651.96,0.0,C632646357,1737062.67,1777714.62,1,0
184,PAYMENT,12121.71,C531303821,99915.0,87793.29,M375094602,0.0,0.0,0,0
691,CASH_OUT,32935.25,C2017409191,32935.25,0.0,C1772041191,0.0,32935.25,1,0
395,TRANSFER,277428.59,C1994514892,19873.0,0.0,C1732142738,0.0,277428.59,0,0
348,TRANSFER,2478818.92,C1635946404,1321.0,0.0,C819111260,464010.48,2942829.41,0,0
325,CASH_OUT,97119.76,C1793812618,5518.0,0.0,C560477640,32453.79,129573.54,0,0
133,CASH_OUT,519128.16,C1010072933,54613.0,0.0,C1220871044,255555.0,940257.72,0,0
209,CASH_OUT,342903.4,C467123178,92217.0,0.0,C940500752,1675866.51,2018769.92,0,0
161,PAYMENT,9962.86,C1772963033,0.0,0.0,M778200551,0.0,0.0,0,0
232,PAYMENT,5216.86,C2131450268,0.0,0.0,M1802723004,0.0,0.0,0,0
183,TRANSFER,511648.43,C467620598,0.0,0.0,C993870751,22176264.48,22687912.9,0,0
397,CASH_IN,2387.76,C499008707,507090.0,509477.76,C541026425,0.0,0.0,0,0
42,PAYMENT,3329.82,C922701885,0.0,0.0,M1416825748,0.0,0.0,0,0
625,TRANSFER,58924.16,C475096619,58924.16,0.0,C1365777468,0.0,0.0,1,0
43,TRANSFER,206647.32,C2015881939,0.0,0.0,C976803962,675910.73,882558.04,0,0
562,CASH_OUT,6324299.91,C1554473398,6324299.91,0.0,C653645882,411927.3,6736227.21,1,0
43,TRANSFER,362152.77,C1484448573,362152.77,0.0,C1911678087,0.0,0.0,1,0
235,CASH_OUT,84709.85,C1545463754,62572.18,0.0,C622870452,2848932.61,2933642.46,0,0
729,TRANSFER,90026.9,C2144761776,90026.9,0.0,C514777944,0.0,0.0,1,0
189,PAYMENT,13934.31,C31154041,123.0,0.0,M128899986,0.0,0.0,0,0
186,CASH_OUT,561149.9,C1581439980,561149.9,0.0,C89425517,0.0,561149.9,1,0
424,TRANSFER,1058602.68,C1952841743,1058602.68,0.0,C1842449646,0.0,0.0,1,0
158,TRANSFER,171456.83,C970953721,171456.83,0.0,C574361249,0.0,0.0,1,0
25,CASH_OUT,44829.81,C1812532920,44829.81,0.0,C1135869087,301552.31,346382.12,1,0
355,PAYMENT,28253.91,C381763673,49900.0,21646.09,M233806414,0.0,0.0,0,0
743,CASH_OUT,1258818.82,C1436118706,1258818.82,0.0,C1240760502,503464.5,1762283.33,1,0
257,PAYMENT,3876.72,C1678570411,0.0,0.0,M1738486944,0.0,0.0,0,0
98,CASH_OUT,63624.08,C431038121,63624.08,0.0,C1925188324,0.0,63624.08,1,0
351,PAYMENT,5515.16,C1742732253,598679.5,593164.34,M1548107858,0.0,0.0,0,0
565,CASH_OUT,364715.24,C1494182124,364715.24,0.0,C1189627156,547144.76,911860.0,1,0
178,CASH_IN,229446.31,C754192011,28419.0,257865.31,C328596294,0.0,0.0,0,0
280,CASH_OUT,94178.07,C668228220,0.0,0.0,C1503274044,645062.67,739240.74,0,0
251,CASH_IN,48680.09,C1808696799,3738166.15,3786846.24,C1381762772,198639.59,149959.5,0,0
289,CASH_OUT,196149.04,C1282559075,196149.04,0.0,C1815880438,193203.94,389352.99,1,0
130,CASH_IN,13846.99,C874680081,8878462.85,8892309.84,C31639297,138891.79,125044.8,0,0
177,CASH_OUT,286438.33,C1876747342,40083.0,0.0,C364279738,3695390.8,3981829.13,0,0
20,CASH_OUT,291579.07,C309161821,134812.4,0.0,C1199657477,431682.59,723261.66,0,0
34,TRANSFER,263979.58,C1626229019,12181.0,0.0,C580533329,0.0,263979.58,0,0
353,CASH_OUT,9874.44,C1410718192,132608.0,122733.56,C198992362,2448420.57,2458295.01,0,0
37,TRANSFER,295704.99,C1778673059,0.0,0.0,C1552212288,424713.43,720418.43,0,0
229,CASH_IN,179336.41,C1035695621,11322.0,190658.41,C1833041851,0.0,0.0,0,0
275,PAYMENT,827.44,C1319776052,398417.0,397589.56,M1534493688,0.0,0.0,0,0
349,TRANSFER,1398633.34,C1585861369,1398633.34,0.0,C154053358,0.0,0.0,1,0
161,CASH_IN,128748.63,C422423453,2860283.1,2989031.73,C1172759093,2283837.15,2155088.52,0,0
159,CASH_IN,369909.07,C1398809227,2032081.73,2401990.8,C2080743922,434355.24,64446.16,0,0
687,PAYMENT,6002.41,C507063960,0.0,0.0,M957173109,0.0,0.0,0,0
687,CASH_IN,365237.01,C1495412755,2353378.4,2718615.41,C1023442753,3191562.59,2826325.58,0,0
33,PAYMENT,37367.39,C1125007849,404437.59,367070.2,M668154896,0.0,0.0,0,0
679,TRANSFER,3150438.28,C1921052827,3150438.28,0.0,C117597233,0.0,0.0,1,0
396,CASH_OUT,98976.11,C585539356,6216.0,0.0,C1076464579,68280.06,167256.17,0,0
304,CASH_OUT,222333.27,C543660173,0.0,0.0,C624875152,428863.22,651196.48,0,0
354,PAYMENT,50460.02,C1659650185,0.0,0.0,M715368526,0.0,0.0,0,0
355,CASH_IN,225246.65,C891998038,12635119.49,12860366.14,C607034665,236902.63,11655.98,0,0
260,CASH_OUT,78666.92,C234957581,0.0,0.0,C1439761589,541348.44,620015.36,0,0
233,CASH_OUT,88144.01,C1762416788,0.0,0.0,C250652885,8904951.11,8993095.12,0,0
22,TRANSFER,489767.32,C869780206,489767.32,0.0,C926230389,0.0,0.0,1,0
689,CASH_OUT,2163012.63,C1593930308,2163012.63,0.0,C1515597867,0.0,2163012.63,1,0
